Índice,Leverage,T² Hotelling,Resíduo Q,Outlier_Leverage,Outlier_T2,Outlier_Q
0,0.9047161252464201,9.951877377710622,3.515205224446736e-24,True,False,True
1,1.3805814812583272,15.1863962938416,5.301145302344499e-26,True,False,True
2,0.7978711131580721,8.776582244738794,1.0138788562034389e-26,True,False,True
3,1.158907417772036,12.747981595492396,1.2271133823034018e-25,True,False,True
4,0.9047161252464998,9.951877377711497,7.198373401660023e-26,True,False,True
5,0.8696373080284358,9.566010388312794,1.478505911575762e-26,True,False,True
6,0.6396976451440202,7.036674096584222,3.396046196976456e-28,True,False,False
7,0.9602026888687356,10.562229577556092,1.0069684847478814e-26,True,False,True
8,0.7315929547360711,8.047522502096783,2.715967977990257e-27,True,False,True
9,0.6283997097028728,6.912396806731601,1.8965673368257296e-28,True,False,False
10,0.6112583094199505,6.723841403619455,3.8807507638702246e-28,True,False,False
11,0.6283997097028696,6.912396806731565,3.5565477216784087e-29,True,False,False
12,0.995372122066856,10.949093342735416,1.4323689886442023e-27,True,False,False
13,5.950362298644754,65.4539852850923,8.256307597192529e-29,True,True,False
14,2.110162461053787,23.211787071591658,5.78755814983964e-28,True,True,False
15,2.106213139560123,23.168344535161353,6.070561999587678e-28,True,True,False
16,0.8523123963127734,9.375436359440508,3.759679374680164e-28,True,False,False
17,10.098481574411023,111.08329731852126,1.0243389669173948e-27,True,True,False
18,0.7959422337454515,8.755364571199966,1.0094106987324605e-28,True,False,False
19,7.910973245820861,87.02070570402947,8.371495541236385e-28,True,True,False
20,1.0213256301462312,11.234581931608544,7.717624991747419e-28,True,False,False
21,0.7347664766004076,8.082431242604484,1.7888807695446401e-29,True,False,False
22,1.0213284576892065,11.234613034581272,4.368317262661353e-29,True,False,False
23,0.60829142428129,6.69120566709419,3.1674592871584915e-28,True,False,False
24,0.6273138224358938,6.9004520467948325,1.5392956561916095e-28,True,False,False
25,0.8079748451274252,8.887723296401678,5.725805132102807e-28,True,False,False
26,0.5674806387409244,6.2422870261501675,3.288563898640093e-29,True,False,False
27,1.0213284576892065,11.234613034581272,4.368317262661353e-29,True,False,False
28,0.8575147552592705,9.432662307851976,1.8200269086052705e-28,True,False,False
29,0.7884114218582479,8.672525640440726,1.103049412628568e-28,True,False,False
30,0.6082068673655815,6.690275541021396,3.616519434772615e-28,True,False,False
31,0.9387256000626377,10.325981600689015,3.0852492522009656e-28,True,False,False
32,0.812080426694991,8.932884693644901,2.254079517961655e-28,True,False,False
33,0.880190158252108,9.682091740773188,2.6903950950026945e-28,True,False,False
34,1.5166837445922958,16.683521190515254,1.99480755476734e-27,True,False,False
