PC,Autovalor (λ),log(λ),% Variância,% Var. Acumulada,RMSEC,RMSECV,Selecionado
1,2.9889373497422085,1.0949179228085308,27.16705017648463,27.16705017648463,0.8741399340082027,0.8746858598098751,
2,2.4757321492643976,0.9065361701597752,22.50242532798587,49.6694755044705,0.8278109847862096,0.828479074147396,
3,1.5875808138165164,0.46221135683013853,14.429839967002819,64.09931547147332,0.8033155369497905,0.8040722767258902,✓
4,0.9535808160078214,-0.04753110031487263,8.667287013577582,72.7666024850509,0.7871940298486141,0.7885467495643137,
5,0.742374838690703,-0.29790098993429537,6.747593586800835,79.51419607185174,0.7638320642623166,0.7649703019207931,
6,0.6271558492632796,-0.46656020581767593,5.700345116594983,85.21454118844673,0.7529471911966581,0.7541811850751495,
7,0.5211379321524762,-0.6517405272531978,4.736727035405024,89.95126822385174,0.7496959137504575,0.7510011360609985,
8,0.5076940112567319,-0.6778763529291026,4.614532545923712,94.56580076977545,0.7488645903891405,0.7503669306372769,
9,0.3367842672763896,-1.0883127100672854,3.061099654209016,97.62690042398448,0.732684119849025,0.7345595996015692,
10,0.22600065032031783,-1.487217402190461,2.0541651726824512,99.68106559666693,0.732465588615915,0.7346509023640309,
